group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
23,3,0.00216447,True,46,298,1265,33,TT2,j30,LBMAX_DP,81,0,0
23,4,0.00907986,True,65,1235,5403,33,TT2,j30,LBMAX_DP,420,92,0
23,5,0.0240602,True,52,4326,16420,33,TT2,j30,LBMAX_DP,4632,1255,0
23,6,0.0402158,True,48,7356,32152,33,TT2,j30,LBMAX_DP,8751,5,0
23,7,0.0188989,True,60,3616,13005,33,TT2,j30,LBMAX_DP,2816,842,0
23,8,0.0174923,True,48,2380,11030,33,TT2,j30,LBMAX_DP,1484,0,0
23,9,0.0102428,True,63,1517,6311,33,TT2,j30,LBMAX_DP,1685,317,0
23,10,0.00105255,True,61,184,670,33,TT2,j30,LBMAX_DP,61,0,0
24,1,0.000392226,True,53,45,169,33,TT2,j30,LBMAX_DP,0,0,0
24,2,0.0630314,True,58,8873,43944,33,TT2,j30,LBMAX_DP,9172,6,0
24,3,0.00897689,True,69,1273,5956,33,TT2,j30,LBMAX_DP,573,2,0
24,4,0.000346998,True,53,34,145,33,TT2,j30,LBMAX_DP,0,0,0
24,5,0.00911843,True,51,1134,5830,33,TT2,j30,LBMAX_DP,636,0,0
24,6,0.000367958,True,56,38,165,33,TT2,j30,LBMAX_DP,0,0,0
24,7,0.112974,True,44,17233,71180,33,TT2,j30,LBMAX_DP,17439,59,0
24,8,0.000377924,True,38,33,154,33,TT2,j30,LBMAX_DP,0,0,0
24,9,0.000343368,True,43,33,136,33,TT2,j30,LBMAX_DP,0,0,0
24,10,0.000336443,True,53,37,138,33,TT2,j30,LBMAX_DP,0,0,0
25,1,0.632542,True,93,84217,361009,33,TT2,j30,LBMAX_DP,156656,8650,0
25,2,0.0712873,True,75,13323,48029,33,TT2,j30,LBMAX_DP,15284,1287,0
25,3,0.615893,True,76,80957,335010,33,TT2,j30,LBMAX_DP,127455,9245,0
25,4,0.239412,True,81,36665,156175,33,TT2,j30,LBMAX_DP,51831,3198,0
25,5,0.203381,True,72,31131,131145,33,TT2,j30,LBMAX_DP,54872,2673,0
25,6,0.305218,True,58,39572,162089,33,TT2,j30,LBMAX_DP,66290,4265,0
25,7,0.115382,True,95,19877,73078,33,TT2,j30,LBMAX_DP,29120,2245,0
25,8,0.224515,True,69,33338,137276,33,TT2,j30,LBMAX_DP,54227,3204,0
25,9,0.0352369,True,84,7184,25206,33,TT2,j30,LBMAX_DP,10246,712,0
25,10,0.276591,True,58,39159,156442,33,TT2,j30,LBMAX_DP,55312,6566,0
26,1,0.0318882,True,59,3977,19245,33,TT2,j30,LBMAX_DP,3523,8,0
26,2,0.00507645,True,40,494,2593,33,TT2,j30,LBMAX_DP,85,0,0
26,3,0.00939688,True,58,1066,5397,33,TT2,j30,LBMAX_DP,592,0,0
